Algoritmo,Base,Repeticao,D,Dp,Dn,Atributos,I,Tempo,Testes,Seed,WRAcc,size,TP,FP,SUPP,Qg,Chi_Quad,p_value,Lift,DiffSup,K,GrowthRate,OddsRatio,cov,conf,supp,suppP,suppN
SSDP,alon-pn-freq-8,4,62,40,22,2000,16000,0.474,288000,124987441,0.04578564,1,8,0,0.75,8,5.051851852,0.024599633,1.55,0.2,5,Infinity,Infinity,0.129032258,1,0.129032258,0.2,0
SSDP,alon-pn-freq-8,5,62,40,22,2000,16000,0.474,288000,123979721,0.04578564,1,8,0,0.75,8,5.051851852,0.024599633,1.55,0.2,5,Infinity,Infinity,0.129032258,1,0.129032258,0.2,0
SSDP,alon-pn-freq-8,6,62,40,22,2000,16000,0.48,288000,119777719,0.04578564,1,8,0,0.75,8,5.051851852,0.024599633,1.55,0.2,5,Infinity,Infinity,0.129032258,1,0.129032258,0.2,0
SSDP,alon-pn-freq-8,7,62,40,22,2000,16000,0.5,288000,117705823,0.04578564,1,8,0,0.75,8,5.051851852,0.024599633,1.55,0.2,5,Infinity,Infinity,0.129032258,1,0.129032258,0.2,0
SSDP,alon-pn-freq-8,8,62,40,22,2000,16000,0.499,288000,112131119,0.04578564,1,8,0,0.75,8,5.051851852,0.024599633,1.55,0.2,5,Infinity,Infinity,0.129032258,1,0.129032258,0.2,0
SSDP,alon-pn-freq-8,9,62,40,22,2000,16000,0.511,288000,108626351,0.04578564,1,8,0,0.75,8,5.051851852,0.024599633,1.55,0.2,5,Infinity,Infinity,0.129032258,1,0.129032258,0.2,0
SSDP,alon-pn-freq-8,10,62,40,22,2000,16000,0.536,288000,107980007,0.04578564,1,8,0,0.75,8,5.051851852,0.024599633,1.55,0.2,5,Infinity,Infinity,0.129032258,1,0.129032258,0.2,0
SSDP,alon-pn-width-2,1,62,40,22,2000,4000,0.203,112000,179424673,0.095005203,1.8,16.6,0,0.75,16.6,12.51087639,5.10E-04,1.55,0.415,5,Infinity,Infinity,0.267741935,1,0.267741935,0.415,0
SSDP,alon-pn-width-2,2,62,40,22,2000,4000,0.219,124000,125164703,0.10301769,2.4,18,0,0.475,18,13.95993282,2.00E-04,1.55,0.45,5,Infinity,Infinity,0.290322581,1,0.290322581,0.45,0
SSDP,alon-pn-width-2,3,62,40,22,2000,4000,0.187,108000,132011827,0.092715921,1.4,16.2,0,0.725,16.2,12.09180985,6.07E-04,1.55,0.405,5,Infinity,Infinity,0.261290323,1,0.261290323,0.405,0
SSDP,alon-pn-width-2,4,62,40,22,2000,4000,0.187,112000,124987441,0.093860562,1.8,16.4,0,0.675,16.4,12.30660586,5.59E-04,1.55,0.41,5,Infinity,Infinity,0.264516129,1,0.264516129,0.41,0
SSDP,alon-pn-width-2,5,62,40,22,2000,4000,0.187,104000,123979721,0.089281998,1.4,15.6,0,0.675,15.6,11.47840559,7.63E-04,1.55,0.39,5,Infinity,Infinity,0.251612903,1,0.251612903,0.39,0
SSDP,alon-pn-width-2,6,62,40,22,2000,4000,0.203,112000,119777719,0.100728408,2.4,17.6,0,0.7,17.6,13.54210673,2.77E-04,1.55,0.44,5,Infinity,Infinity,0.283870968,1,0.283870968,0.44,0
SSDP,alon-pn-width-2,7,62,40,22,2000,4000,0.203,120000,117705823,0.101873049,2.6,17.8,0,0.65,17.8,13.74637726,2.29E-04,1.55,0.445,5,Infinity,Infinity,0.287096774,1,0.287096774,0.445,0
SSDP,alon-pn-width-2,8,62,40,22,2000,4000,0.187,112000,112131119,0.089281998,1.4,15.6,0,0.75,15.6,11.47840559,7.63E-04,1.55,0.39,5,Infinity,Infinity,0.251612903,1,0.251612903,0.39,0
SSDP,alon-pn-width-2,9,62,40,22,2000,4000,0.14,80000,108626351,0.083558793,1.2,14.6,0,0.625,14.6,10.52391982,0.001351558,1.55,0.365,5,Infinity,Infinity,0.235483871,1,0.235483871,0.365,0
SSDP,alon-pn-width-2,10,62,40,22,2000,4000,0.172,88000,107980007,0.085848075,1.4,15,0,0.625,15,10.89112781,0.001019392,1.55,0.375,5,Infinity,Infinity,0.241935484,1,0.241935484,0.375,0
SSDP,alon-pn-width-4,1,62,40,22,2000,7909,0.578,324269,179424673,0.116753382,2.4,20.4,0,0.825,20.4,16.72919861,4.52E-05,1.55,0.51,5,Infinity,Infinity,0.329032258,1,0.329032258,0.51,0
SSDP,alon-pn-width-4,2,62,40,22,2000,7909,0.514,292633,125164703,0.111030177,2,19.4,0,0.9,19.4,15.53570321,8.46E-05,1.55,0.485,5,Infinity,Infinity,0.312903226,1,0.312903226,0.485,0
SSDP,alon-pn-width-4,3,62,40,22,2000,7909,0.453,260997,132011827,0.115608741,2.2,20.2,0,0.875,20.2,16.48364692,5.05E-05,1.55,0.505,5,Infinity,Infinity,0.325806452,1,0.325806452,0.505,0
SSDP,alon-pn-width-4,4,62,40,22,2000,7909,0.546,332178,124987441,0.109885536,2.4,19.2,0,0.85,19.2,15.30157254,9.42E-05,1.55,0.48,5,Infinity,Infinity,0.309677419,1,0.309677419,0.48,0
SSDP,alon-pn-width-4,5,62,40,22,2000,7909,0.499,284724,123979721,0.115608741,2.4,20.2,0,0.775,20.2,16.48364692,5.05E-05,1.55,0.505,5,Infinity,Infinity,0.325806452,1,0.325806452,0.505,0
SSDP,alon-pn-width-4,6,62,40,22,2000,7909,0.936,506176,119777719,0.164828304,3.4,28.8,0,0.8,28.8,29.61335784,6.72E-08,1.55,0.72,5,Infinity,Infinity,0.464516129,1,0.464516129,0.72,0
SSDP,alon-pn-width-4,7,62,40,22,2000,7909,0.515,300542,117705823,0.111030177,2.2,19.4,0,0.9,19.4,15.53570321,8.46E-05,1.55,0.485,5,Infinity,Infinity,0.312903226,1,0.312903226,0.485,0
SSDP,alon-pn-width-4,8,62,40,22,2000,7909,0.577,332178,112131119,0.1144641,2.2,20,0,0.9,20,16.23809524,5.59E-05,1.55,0.5,5,Infinity,Infinity,0.322580645,1,0.322580645,0.5,0
SSDP,alon-pn-width-4,9,62,40,22,2000,7909,0.53,308451,108626351,0.112174818,2,19.6,0,0.725,19.6,15.76983389,7.50E-05,1.55,0.49,5,Infinity,Infinity,0.316129032,1,0.316129032,0.49,0
SSDP,alon-pn-width-4,10,62,40,22,2000,7909,0.546,308451,107980007,0.1144641,2.2,20,0,0.925,20,16.23809524,5.59E-05,1.55,0.5,5,Infinity,Infinity,0.322580645,1,0.322580645,0.5,0
SSDP,alon-pn-width-8,1,62,40,22,2000,14734,0.826,471488,179424673,0.109885536,2,19.2,0,0.825,19.2,15.30157254,9.42E-05,1.55,0.48,5,Infinity,Infinity,0.309677419,1,0.309677419,0.48,0
SSDP,alon-pn-width-8,2,62,40,22,2000,14734,0.858,486222,125164703,0.111030177,2.2,19.4,0,0.775,19.4,15.53570321,8.46E-05,1.55,0.485,5,Infinity,Infinity,0.312903226,1,0.312903226,0.485,0
SSDP,alon-pn-width-8,3,62,40,22,2000,14734,1.014,574626,132011827,0.112174818,2.4,19.6,0,0.775,19.6,15.76983389,7.50E-05,1.55,0.49,5,Infinity,Infinity,0.316129032,1,0.316129032,0.49,0
SSDP,alon-pn-width-8,4,62,40,22,2000,14734,0.952,530424,124987441,0.112174818,2.4,19.6,0,0.775,19.6,15.76983389,7.50E-05,1.55,0.49,5,Infinity,Infinity,0.316129032,1,0.316129032,0.49,0
SSDP,alon-pn-width-8,5,62,40,22,2000,14734,0.983,574626,123979721,0.108740895,2,19,0,0.8,19,15.07808416,1.11E-04,1.55,0.475,5,Infinity,Infinity,0.306451613,1,0.306451613,0.475,0
SSDP,alon-pn-width-8,6,62,40,22,2000,14734,0.733,442020,119777719,0.108740895,2,19,0,0.7,19,15.06744186,1.04E-04,1.55,0.475,5,Infinity,Infinity,0.306451613,1,0.306451613,0.475,0
SSDP,alon-pn-width-8,7,62,40,22,2000,14734,0.936,545158,117705823,0.109885536,2,19.2,0,0.8,19.2,15.30157254,9.42E-05,1.55,0.48,5,Infinity,Infinity,0.309677419,1,0.309677419,0.48,0
SSDP,alon-pn-width-8,8,62,40,22,2000,14734,0.842,486222,112131119,0.109885536,2,19.2,0,0.775,19.2,15.30157254,9.42E-05,1.55,0.48,5,Infinity,Infinity,0.309677419,1,0.309677419,0.48,0
SSDP,alon-pn-width-8,9,62,40,22,2000,14734,0.999,574626,108626351,0.109885536,2,19.2,0,0.825,19.2,15.30157254,9.42E-05,1.55,0.48,5,Infinity,Infinity,0.309677419,1,0.309677419,0.48,0
SSDP,alon-pn-width-8,10,62,40,22,2000,14734,0.842,486222,107980007,0.109885536,2.2,19.2,0,0.7,19.2,15.30157254,9.42E-05,1.55,0.48,5,Infinity,Infinity,0.309677419,1,0.309677419,0.48,0
SSDP,borovecki-pn-freq-2,1,31,17,14,22283,44566,1.357,802188,179424673,0.221436004,1,15.2,0,1,15.2,24.59333333,8.34E-07,1.823529412,0.894117647,5,Infinity,Infinity,0.490322581,1,0.490322581,0.894117647,0
